id,wbId,name,original_en_word_count,improved_en_word_count,improvement_pct,status,error_reason
156331,WB5549,Karuizawa 26 Years Old 1981 Vintage - Single Cask Malt Whisky Nr.103,91,124,36.3,success,
156334,WB19441,Hanyu 10 Years Old 2000 Noh Whisky Nr.6066,106,129,21.7,success,
156338,WB192708,Glenallachie 15 Years Old 2006 Single Cask Cask Nr.6599,94,118,25.5,success,
156345,WB135595,Glenallachie 13 Years Old 2006 Single Cask Cask Nr.6600,97,131,35.1,success,
156349,WB41915,Karuizawa 31 Years Old 1981 Noh Whisky Nr.155,108,130,20.4,success,
156351,WB134737,Caperdonich 18 Years Old Peated - Small Batch Release,97,135,39.2,success,
156354,WB26152,Karuizawa 1981 Vintage - Single Cask Malt Whisky Nr.2634,93,116,24.7,success,
156356,WB96119,Chichibu 2012 Ichiro's Malt - The Peated,107,122,14.0,success,
156362,WB85064,Jameson Irish Whiskey,98,111,13.3,success,
156367,WB125088,Glengoyne The Legacy Series Chapter One,98,106,8.2,success,
156371,WB98258,Arran 1995 Malt & Music Festival 2017 Cask Nr.368,98,112,14.3,success,
156372,WB36517,Karuizawa 1981 Cocktail Serie Cask Nr.162,113,135,19.5,success,
156375,WB2892,Aberlour A'bunadh Batch 17,122,119,-2.5,success,
156376,WB13820,Arran 10 Years Old Stone Label,99,110,11.1,success,
156383,WB3284,Aberlour A'bunadh Batch 14,130,117,-10.0,success,
156390,WB15459,Arran 10 Years Old 1996 Bourbon Cask Nr.2125,117,131,12.0,success,
156392,WB59655,Johnnie Walker 21 Years Old,102,117,14.7,success,
156400,WB4224,Aberlour A'bunadh Batch 07,93,108,16.1,success,
156402,WB239474,Kavalan Solist Pedro Ximenez Cask Nr.PX150611055A,88,118,34.1,success,
156408,WB74773,Glenturret Triple Wood Edition Batch 1,106,102,-3.8,success,
156420,WB5551,Karuizawa 1988 Vintage - Single Cask Malt Whisky Nr.3397,100,109,9.0,success,
156421,WB69676,Karuizawa 1987 Samurai Label Cask Nr.2031,105,126,20.0,success,
156423,WB100664,Balvenie 15 Years Old Single Barrel Nr.9344,119,128,7.6,success,
156429,WB122060,Glenallachie 12 Years Old 2006 Single Cask For Europe - Batch 1 Cask Nr.27977,122,131,7.4,success,
156433,WB96617,Arran 1996 Private Bottling Cask Nr.179,106,124,17.0,success,
156437,WB227762,Kanosuke Single Malt Japanese Whisky,96,130,35.4,success,
156438,WB57589,Karuizawa 1984 Vintage - Single Cask Malt Whisky Nr.8173,92,117,27.2,success,
156442,WB180763,Kavalan Solist Madeira Cask Nr.D150504037A,107,110,2.8,success,
156444,WB222525,Arran 26 Years Old 1996 Single Cask Nr.1996/877,115,124,7.8,success,
156449,WB54700,Arran Lochranza Reserve Small Batch,87,115,32.2,success,
156450,WB57289,Auchentoshan 1988 Wine Cask Finish Limited Release,107,111,3.7,success,
156452,WB8342,Bowmore 1964 Black Bowmore First Edition,94,115,22.3,success,
156453,WB19355,Aberlour A'bunadh Batch 33,100,119,19.0,success,
156465,WB37896,Aberlour A'bunadh Batch 44,104,110,5.8,success,
156467,WB25292,Aberlour A'bunadh Batch 37,108,116,7.4,success,
156469,WB8341,Bowmore 1964 Black Bowmore Final Edition,119,117,-1.7,success,
156470,WB43906,Aberlour A'bunadh Batch 46,104,111,6.7,success,
156471,WB232954,Bowmore 18 Year Old Feis Ile 2023,103,116,12.6,success,
156472,WB221873,Glenfarclas 2011 Oloroso Sherry Kirsch Import,109,110,0.9,success,
156480,WB163335,Glenallachie 14 Years Old 2006 Trilogy Part I Cask Nr.675,93,124,33.3,success,
156483,WB218549,Nc'Nean Quiet Rebels Lorna,98,110,12.2,success,
156485,WB239475,Nc'Nean Quiet Rebels Gordon,98,118,20.4,success,
